gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
029649,000003,20161202,,S&P 500 Comp-Ltd,I0003,MID-AMERICA APT CMNTYS INC,MAA,59522J103
065967,000003,20161202,,S&P 500 Comp-Ltd,I0003,ENVISION HEALTHCARE CORP,EVHC,29414D100
028719,000003,20170103,20170103,S&P 500 Comp-Ltd,I0003,CONDUENT INC,CNDT,206787103
024197,000003,20170105,,S&P 500 Comp-Ltd,I0003,IDEXX LABS INC,IDXX,45168D104
030923,000003,20170117,,S&P 500 Comp-Ltd,I0003,TECHNIPFMC PLC,FTI,G87110105
029004,000003,20170130,20170130,S&P 500 Comp-Ltd,I0003,VAREX IMAGING CORP,VREX,92214X106
029819,000003,20170202,20170202,S&P 500 Comp-Ltd,I0003,BIOVERATIV INC,BIVV,09075E100
029127,000003,20170228,,S&P 500 Comp-Ltd,I0003,INCYTE CORP,INCY,45337C102
184500,000003,20170301,,S&P 500 Comp-Ltd,I0003,CBOE GLOBAL MARKETS INC,CBOE,12503M108
029099,000003,20170302,,S&P 500 Comp-Ltd,I0003,REGENCY CENTERS CORP,REG,758849103
060900,000003,20170313,,S&P 500 Comp-Ltd,I0003,DISH NETWORK CORP,DISH,25470M109
024975,000003,20170316,,S&P 500 Comp-Ltd,I0003,SYNOPSYS INC,SNPS,871607107
001161,000003,20170320,,S&P 500 Comp-Ltd,I0003,ADVANCED MICRO DEVICES,AMD,007903107
008898,000003,20170320,,S&P 500 Comp-Ltd,I0003,RAYMOND JAMES FINANCIAL CORP,RJF,754730109
064821,000003,20170320,,S&P 500 Comp-Ltd,I0003,ALEXANDRIA R E EQUITIES INC,ARE,015271109
003336,000003,20170404,,S&P 500 Comp-Ltd,I0003,DXC TECHNOLOGY COMPANY,DXC,23355L106
012441,000003,20170405,,S&P 500 Comp-Ltd,I0003,GARTNER INC,IT,366651107
029155,000003,20170601,20170601,S&P 500 Comp-Ltd,I0003,CARS.COM INC,CARS,14575E105
162906,000003,20170602,,S&P 500 Comp-Ltd,I0003,IHS MARKIT LTD,INFO,G47567105
005643,000003,20170619,,S&P 500 Comp-Ltd,I0003,HILTON WORLDWIDE HOLDINGS,HLT,43300A203
061388,000003,20170619,,S&P 500 Comp-Ltd,I0003,EVEREST RE GROUP LTD,RE,G3223R108
